timestep,buyer,seller,price,quantity
1287,MomBot2,MomBot2,64175.050000,1
1288,BotC,MomBot1,64172.640000,1
1289,MomBot1,MomBot2,64172.640000,1
1294,MomBot1,MomBot1,63841.760000,1
1295,BotB,MomBot2,63841.760000,1
1296,BotC,BotC,63845.760000,1
1298,MomBot2,MomBot1,63645.060000,1
1299,RSIBot1,MomBot2,63645.060000,1
1301,MomBot2,MomBot1,63166.580000,1
1302,MomBot2,MomBot2,63166.580000,1
1304,MomBot2,MomBot1,63031.080000,1
1305,RSIBot1,MomBot2,63031.080000,1
1307,MomBot2,MomBot2,63174.480000,1
1309,BotC,MomBot1,63189.830000,1
1310,MomBot1,MomBot2,63189.830000,1
1311,MomBot2,BotB,63193.830000,1
1314,MomBot1,MomBot2,63105.590000,1
1316,MomBot2,MomBot2,63315.520000,1
